Case #1:
26 23
26 24
26 25
26 26
27 27
28 28
28 27
28 26
28 25
28 24
28 23
28 22
28 21
28 20
28 19
28 18
28 17
28 16
28 15
28 14
28 13
28 12
28 11
28 10
28 9
28 8
28 7
28 6
28 5
28 4
28 3
28 2
28 1
29 1
29 2
29 3
29 4
29 5
29 6
29 7
29 8
29 9
29 10
29 11
29 12
29 13
29 14
29 15
29 16
29 17
29 18
29 19
29 20
29 21
29 22
29 23
29 24
29 25
29 26
29 27
29 28
29 29
30 30
30 29
30 28
30 27
30 26
30 25
30 24
30 23
30 22
30 21
30 20
30 19
30 18
30 17
30 16
30 15
30 14
30 13
30 12
30 11
30 10
30 9
30 8
30 7
30 6
30 5
30 4
30 3
30 2
30 1
31 1
32 1
33 1
34 1
35 1
36 1
37 1
38 1
39 1
40 1
41 1
42 1
43 1
44 1
45 1
46 1
47 1
48 1
49 1
50 1
51 1
52 1
53 1
54 1
55 1
56 1
57 1
58 1
59 1
60 1
61 1
62 1
63 1
64 1
65 1
66 1
67 1
68 1
Case #3:
1 1
2 2
2 1
3 1
3 2
3 3
4 4
4 3
4 2
4 1
5 1
6 1
7 1
7 2
7 3
7 4
7 5
7 6
7 7
8 8
8 7
8 6
8 5
8 4
8 3
8 2
8 1
9 1
10 1
11 1
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
13 13
14 14
14 13
14 12
14 11
14 10
14 9
14 8
14 7
14 6
14 5
14 4
14 3
14 2
14 1
15 1
15 2
15 3
15 4
15 5
15 6
15 7
15 8
15 9
15 10
15 11
15 12
15 13
15 14
15 15
16 16
16 15
16 14
16 13
16 12
16 11
16 10
16 9
16 8
16 7
16 6
16 5
16 4
16 3
16 2
16 1
17 1
18 1
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 10
19 11
19 12
19 13
19 14
19 15
19 16
19 17
19 18
19 19
20 20
21 21
22 22
22 21
22 20
22 19
22 18
22 17
22 16
22 15
22 14
22 13
22 12
22 11
22 10
22 9
22 8
22 7
22 6
22 5
22 4
22 3
22 2
22 1
23 1
24 1
24 2
24 3
24 4
24 5
24 6
24 7
24 8
24 9
24 10
24 11
24 12
24 13
24 14
24 15
24 16
24 17
24 18
24 19
24 20
24 21
24 22
24 23
24 24
25 25
25 24
25 23
25 22
25 21
25 20
25 19
25 18
25 17
25 16
25 15
25 14
25 13
25 12
25 11
25 10
25 9
25 8
25 7
25 6
25 5
25 4
25 3
25 2
25 1
26 1
27 1
27 2
27 3
27 4
27 5
27 6
27 7
27 8
27 9
27 10
27 11
27 12
27 13
27 14
27 15
27 16
27 17
27 18
27 19
27 20
27 21
27 22
27 23
27 24
27 25
27 26
27 27
28 28
29 29
29 28
29 27
29 26
29 25
29 24
29 23
29 22
29 21
29 20
29 19
29 18
29 17
29 16
29 15
29 14
29 13
29 12
29 11
29 10
29 9
29 8
29 7
29 6
29 5
29 4
29 3
29 2
29 1
30 1
30 2
30 3
30 4
30 5
30 6
30 7
30 8
30 9
30 10
30 11
30 12
30 13
30 14
30 15
30 16
30 17
30 18
30 19
30 20
30 21
30 22
30 23
30 24
30 25
30 26
30 27
30 28
30 29
30 30
31 31
32 32
33 33
34 34
35 35
36 36
37 37
38 38
39 39
40 40
41 41
42 42
43 43
44 44
45 45
46 46
47 47
48 48
49 49
50 50
51 51
52 52
53 53
54 54
55 55
56 56
57 57
58 58
59 59
60 60
61 61
62 62
63 63
64 64
65 65
66 66
